[0.000000] (-) TimerEvent: {}
[0.000344] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000564] (-) JobUnselected: {'identifier': 'hello_moveit'}
[0.000586] (-) JobUnselected: {'identifier': 'launch_param_builder'}
[0.000783] (-) JobUnselected: {'identifier': 'moveit'}
[0.000802] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000814] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000823] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000833] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000842] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000851] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000860] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000887] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000899] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000909] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000919] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000928] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000937] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000946] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000955] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000964] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000973] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000982] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000991] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.001000] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.001009] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.001018] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001026] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001035] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001044] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001052] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001061] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001070] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001078] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001087] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001096] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001104] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001113] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001122] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001130] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001139] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001147] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001156] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001165] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001173] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001182] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001191] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001200] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001208] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001217] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001226] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001235] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001244] (-) JobUnselected: {'identifier': 'mtc_tutorial'}
[0.001253] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001262] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001271] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.001280] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001298] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.001308] (-) JobUnselected: {'identifier': 'ur10e_moveit_config'}
[0.001316] (-) JobUnselected: {'identifier': 'ur10e_moveit_launch'}
[0.001325] (-) JobUnselected: {'identifier': 'ur_description'}
[0.001335] (-) EventReactorShutdown: {}
